FOXG1	FOXO4
FOXG1	GDF9
FOXG1	EEF1G
FOXG1	HES1
TLE3	NDRG1
TLE3	SIX3
HDAC1	MECOM
HDAC1	PHB
HDAC1	PCNA
HDAC1	APEX1
HDAC1	NR2F2
HDAC1	RB1
HDAC1	ARID4A
HDAC1	RBL2
HDAC1	FKBP3
HDAC1	TAL1
HDAC1	PTMA
HDAC1	SP1
HDAC1	ATRX
HDAC1	SUV39H1
HDAC1	MORF4L2
HDAC1	AR
HDAC1	RUNX3
HDAC1	PPARD
HDAC1	DDB2
HDAC1	SMAD2
HDAC1	PITX2
HDAC1	ING1
HDAC1	EZH2
HDAC1	SP3
HDAC1	SATB1
HDAC1	CHD1
HDAC1	SALL1
HDAC1	HR
HDAC1	NRIP1
HDAC1	CTBP1
HDAC1	DNMT3A
HDAC1	DNMT3B
HDAC1	RBBP7
HDAC1	RBBP4
HDAC1	SAP18
HDAC1	IKZF1
HDAC1	DAXX
HDAC1	KLF11
HDAC1	SAP30
HDAC1	MTA1
HDAC1	MBD2
HDAC1	MBD3
HDAC1	HUS1
HDAC1	RAD9A
HDAC1	CDYL
HDAC1	HIC1
HDAC1	CBFA2T3
HDAC1	HEY2
HDAC1	HDAC2
HDAC1	BRMS1
HDAC1	HDAC9
HDAC1	TGIF2
HDAC1	BCOR
HDAC1	SETDB1
HDAC1	RBP1
HDAC1	HDAC3
HDAC1	UBE2I
HDAC1	PIAS3
HDAC1	EED
HDAC1	DNMT3L
HDAC1	HIF1AN
HDAC1	SIN3A
HDAC1	KDM1A
HDAC1	BAZ2A
HDAC1	PHF21A
HDAC1	DDX17
HDAC1	MIER1
HDAC1	MDS1
HDAC1	ZBTB16
HDAC1	SUDS3
HDAC1	HBP1
HDAC1	-
HDAC1	PHF12
HDAC1	TRIM27
HDAC1	BRMS1L
HDAC1	EID2
HDAC1	RFC4
HDAC1	BRCA1
HDAC1	PML
HDAC1	CSNK2A1
HDAC1	RFC1
HDAC1	CSNK2A2
HDAC1	SIN3B
HDAC1	SPEN
HDAC1	BCL3
HDAC1	RUVBL2
HDAC1	STAT3
HDAC1	NFKBIA
HDAC1	RBL1
HDAC1	KAT5
HDAC1	MAGEA1
HDAC1	CHD4
HDAC1	RBPJ
HDAC1	RAP1A
HDAC1	STAT2
HDAC1	TGIF1
HDAC1	SENP1
HDAC1	NCOR2
HDAC1	CREBBP
HDAC1	GCM1
HDAC1	ZNF76
HDAC1	PEX14
HDAC1	TPD52L1
HDAC1	DNMT1
HDAC1	EID2B
HDAC1	PIAS4
HDAC1	PHB2
HDAC1	TOP2A
HDAC1	TOP2B
HDAC1	TP53
HDAC1	DHX30
HDAC1	NR2E3
HDAC1	HIF1A
HDAC1	PPP2R1B
HDAC1	BUB3
HDAC1	BUB1B
HDAC1	CDC20
HDAC1	CDH1
HDAC1	BUB1
HDAC1	MAD1L1
HDAC1	ZMYND11
HDAC1	RUNX1T1
HDAC1	MYOD1
HDAC1	NFKB1
HDAC1	RELA
HDAC1	MDM2
SMAD1	SMAD5
SMAD1	GLI3
SMAD1	ZBTB44
SMAD1	TTF2
SMAD1	MLL2
SMAD1	SF3B1
SMAD1	RFX1
SMAD1	ZSCAN4
SMAD1	PSMD11
SMAD1	SOX5
SMAD1	VPS24
SMAD1	TTF1
SMAD1	AP2A2
SMAD1	EWSR1
SMAD1	STARD13
SMAD1	INPP4A
SMAD1	AKR1B1
SMAD1	PIGQ
SMAD1	PUM1
SMAD1	ANKRD27
SMAD1	ICK
SMAD1	ZDHHC3
SMAD1	SMARCE1
SMAD1	ZNF510
SMAD1	PSMD1
SMAD1	ZNF76
SMAD1	HBP1
SMAD1	SNRNP70
SMAD1	TGFBR1
SMAD1	ZNF8
SMAD1	ACVR1
SMAD1	BMPR1A
SMAD1	BTG2
SMAD1	NEUROG1
SMAD1	PSMB4
SMAD1	XPO1
SMAD1	EP300
SMAD1	SMAD6
SMAD1	MED6
SMAD1	ZNF423
SMAD1	ZEB2
SMAD1	HIPK2
SMAD1	SNIP1
SMAD1	GDF6
SMAD1	NEDD9
SMAD1	ECSIT
SMAD1	ZNF521
SMAD1	MAPK1
SMAD1	ARL4D
SMAD1	ARHGEF6
SMAD1	BTBD2
SMAD1	EIF2AK4
SMAD1	ELP3
SMAD1	FBXL12
SMAD1	FBXO30
SMAD1	FHL5
SMAD1	GSC
SMAD1	ING2
SMAD1	NAT9
SMAD1	PLEKHB1
SMAD1	PREB
SMAD1	RAB2B
SMAD1	RAB30
SMAD1	RAB34
SMAD1	RAB38
SMAD1	RAB3B
SMAD1	RAB6B
SMAD1	RAC2
SMAD1	RAN
SMAD1	RAP2A
SMAD1	RASD2
SMAD1	RASL12
SMAD1	RHEBL1
SMAD1	RHOG
SMAD1	RPS27A
SMAD1	SMAD3
SMAD1	SMAD4
SMAD1	SMURF1
SMAD1	SQSTM1
SMAD1	STUB1
SMAD1	TNNT1
SMAD1	TRIP6
SMAD1	UBA52
SMAD1	USP45
SMAD1	VEPH1
SMAD1	LEMD3
SMAD1	SKIL
SMAD1	KAT2B
SMAD1	UBE2Z
SMAD1	C16orf28
SMAD1	UBXN1
SMAD1	HOXA13
SMAD1	HOXD13
SMAD1	COL4A1
SMAD1	SUV39H1
SMAD1	AR
SMAD1	MEN1
